Bid;Generation ;CumSum;Comments
0;1;1;
100;1;2;
200;1;3;
300;1;4;
400;1;5;
500;1;6;
600;1;7;
700;1;8;
800;1;9;
900;1;10;
1000;1;11;
1100;1;12;
1200;1;13;
1300;1;14;
1400;1;15;
1500;1;16;
1600;1;17;
1700;1;18;
1800;1;19;
1900;1;20;
2000;1;21;
2100;1;22;
2200;1;23;
2300;1;24;
2400;1;25;
2500;1;26;
2600;1;27;
2700;1;28;
2800;1;29;
2900;1;30;
3000;1;31;
3100;1;32;
3200;1;33;
3300;1;34;
3400;1;35;
3500;1;36;
3600;1;37;
3700;1;38;
3800;1;39;
3900;1;40;
4000;1;41;
4100;1;42;
4200;1;43;
4300;1;44;
4400;1;45;
4500;1;46;
4600;1;47;
4700;1;48;
4800;1;49;
4900;1;50;
5000;1;51;
5100;1;52;
5200;1;53;
5300;1;54;
5400;1;55;
5500;1;56;
5600;1;57;
5700;1;58;
5800;1;59;
5900;1;60;
